iter	Logloss
335	0.09316982452
336	0.09285920809
337	0.09253451392
338	0.09217419676
339	0.09184686553
340	0.0914823882
341	0.0910444764
342	0.09062961039
343	0.09024529175
344	0.08990527247
345	0.08957314897
346	0.08924972033
347	0.08883592396
348	0.08846040201
349	0.08811226328
350	0.08775378932
351	0.08744967021
352	0.08710798797
353	0.08681239671
354	0.08649807841
355	0.0861986223
356	0.08585008909
357	0.08552998484
358	0.08520458049
359	0.08491638061
360	0.08456226246
361	0.0842586931
362	0.08400943224
363	0.08367023617
364	0.08335587792
365	0.08307703908
366	0.08280028497
367	0.08249729667
368	0.08217216909
369	0.08187641031
370	0.08148114997
371	0.08120443713
372	0.08093165037
373	0.08064959587
374	0.08041358665
375	0.08013097144
376	0.07987951315
377	0.07959823789
378	0.07931524257
379	0.07902815823
380	0.07876922379
381	0.07853038916
382	0.07829540366
383	0.07796598156
384	0.07765018383
385	0.07734386381
386	0.07707999114
387	0.07677242393
388	0.0765417569
389	0.07629293998
390	0.07604274866
391	0.07583311311
392	0.07551951817
393	0.07530479219
394	0.07502910528
395	0.07477701799
396	0.07452428554
397	0.0742452057
398	0.07400510493
399	0.07371795738
400	0.07349044093
401	0.07320009008
402	0.07298292158
403	0.07271476986
404	0.07243218957
405	0.07217827714
406	0.07191341767
407	0.07164058355
408	0.07138363456
409	0.07113282702
410	0.07090792682
411	0.07069530964
412	0.0704281254
413	0.0701803468
414	0.06993520059
415	0.06974927479
416	0.06949759602
417	0.06927500694
418	0.06905232153
419	0.06884756447
420	0.06861819151
421	0.06836137495
422	0.06814068212
423	0.06788109149
424	0.06765535126
425	0.06743613811
426	0.06719000728
427	0.06689181019
428	0.06671894731
429	0.06650127642
430	0.06628231667
431	0.06600366557
432	0.06582577899
433	0.06563368051
434	0.06543757758
435	0.0652046947
436	0.0649904472
437	0.06478399558
438	0.06459986558
439	0.06438292944
440	0.06418165786
441	0.0640129921
442	0.06380628221
443	0.06353844956
444	0.06331792891
445	0.06310483277
446	0.06289716904
447	0.06271350024
448	0.0625117293
449	0.06231381003
450	0.06211550145
451	0.06190578987
452	0.0617167449
453	0.06150328871
454	0.06132753533
455	0.06114458989
456	0.06099497748
457	0.06082418201
458	0.06061731741
459	0.06045124287
460	0.06027329304
461	0.06009202168
462	0.05993232098
463	0.05976052079
464	0.05958107896
465	0.0593921292
466	0.05922199344
467	0.05903257708
468	0.05887823085
469	0.05870486665
470	0.05852454115
471	0.05836099534
472	0.05818033951
473	0.05798028139
474	0.05774223809
475	0.05755910507
476	0.05735554706
477	0.05713162027
478	0.05689905076
479	0.05673943022
480	0.0565945893
481	0.0564599966
482	0.05626861583
483	0.05610196587
484	0.05593868128
485	0.05576352198
486	0.05560212701
487	0.05544373798
488	0.05525258789
489	0.05510194321
490	0.05493280064
491	0.05477552468
492	0.05461820551
493	0.0544749447
494	0.05430903067
495	0.05415679476
496	0.05398734315
497	0.05382925571
498	0.05362248194
499	0.0534573897
500	0.05331146369
501	0.05315984468
502	0.05303259984
503	0.05289982476
504	0.05274688888
505	0.05257621426
506	0.05242664897
507	0.05228232817
508	0.05209657267
509	0.05193856438
510	0.05179366293
511	0.05165321669
512	0.05148140388
513	0.05134321459
514	0.05120042202
515	0.05105405682
516	0.05090801178
517	0.05075814231
518	0.0505992728
519	0.05043965009
520	0.05029998122
521	0.05015926951
522	0.04999834088
523	0.04984490467
524	0.04971094288
525	0.04958593675
526	0.0494716681
527	0.04933470068
528	0.04920022421
529	0.04907399956
530	0.04894701015
531	0.04880533986
532	0.04865330142
533	0.04853553104
534	0.04839425855
535	0.04823934199
536	0.04812398743
537	0.04799626041
538	0.04784117303
539	0.0477068937
540	0.04758529547
541	0.04746978231
542	0.04735282796
543	0.04721547172
544	0.04708016031
545	0.04695107683
546	0.04680060908
547	0.04665697395
548	0.04655460532
549	0.0464082445
550	0.0463091684
551	0.0461827948
552	0.04606079069
553	0.04593617545
554	0.04582992495
555	0.0456734551
556	0.0455562134
557	0.04542491947
558	0.04530850386
559	0.04517175982
560	0.04505870594
561	0.04494895092
562	0.04480777902
563	0.04469509681
564	0.04456085012
565	0.04442764813
566	0.04433953692
567	0.04421319794
568	0.0441009345
569	0.04398142329
570	0.04383821984
571	0.04370701336
572	0.04360657437
573	0.04349881683
574	0.04340385332
575	0.04329793857
576	0.04319609145
577	0.04307003262
578	0.04296438498
579	0.04286238338
580	0.04275326595
581	0.0426318362
582	0.04251222112
583	0.04240963115
584	0.04228616174
585	0.04217061179
586	0.04208462675
587	0.04198656847
588	0.04188990401
589	0.04176744669
590	0.04167055195
591	0.04156612382
592	0.04144554403
593	0.04133240672
594	0.04124806502
595	0.04114583176
596	0.04105840627
597	0.04097574176
598	0.0408846565
599	0.04077546939
600	0.04067325471
601	0.04058181871
602	0.04050023579
603	0.04040211216
604	0.04031668454
605	0.04024242683
606	0.04011934934
607	0.04003149396
608	0.03992605613
609	0.0398287758
610	0.03976001245
611	0.03967551283
612	0.03957624701
613	0.03947779209
614	0.03940126705
615	0.03932806522
616	0.03923232074
617	0.03912508668
618	0.03902240075
619	0.03893080812
620	0.03885517976
621	0.03875261621
622	0.03866832503
623	0.03858097696
624	0.03848566805
625	0.03840657631
626	0.03831311444
627	0.0382168102
628	0.03809672866
629	0.03800331107
630	0.0379174664
631	0.03781724238
632	0.03773546035
633	0.03765532853
634	0.03755450462
635	0.03747091985
636	0.03739439929
637	0.03731038051
638	0.03721503551
639	0.03711196586
640	0.03701081111
641	0.03693315221
642	0.03685050198
643	0.03674685263
644	0.03666749263
645	0.03658266421
646	0.0365066331
647	0.03643870644
648	0.03633095136
649	0.03620844846
650	0.03612102531
651	0.03605228996
652	0.035973364
653	0.03589788536
654	0.03582977182
655	0.03573920963
656	0.03566625221
657	0.03559823017
658	0.03552039999
659	0.03543129543
660	0.03536371821
661	0.03526301436
662	0.03518513701
663	0.03511234635
664	0.03503942793
665	0.0349644749
666	0.03488121839
667	0.03481492525
668	0.03474109268
669	0.03464140256
670	0.03456240334
671	0.03449841014
672	0.03440951122
673	0.03434859906
674	0.03427190905
675	0.03418380008
676	0.03411025568
677	0.0340322129
678	0.03394965316
679	0.03386023712
680	0.03380276545
681	0.03373569807
682	0.03364922102
683	0.03357753876
684	0.03349640468
685	0.03341878013
686	0.03335004773
687	0.03327991109
688	0.03320142619
689	0.03313895507
690	0.03306951935
691	0.03300362547
692	0.03292052133
693	0.03285765071
694	0.03277590965
695	0.032693112
696	0.03261831546
697	0.03255923367
698	0.03248563671
699	0.03241701297
700	0.03234403421
701	0.03227376561
702	0.0322092688
703	0.03214782757
704	0.03207706664
705	0.03202071573
706	0.03196524174
707	0.03189921074
708	0.03182913289
709	0.03177120399
710	0.03169494843
711	0.0316393281
712	0.03157381805
713	0.03150574988
714	0.03144031393
715	0.03138250886
716	0.03131178414
717	0.03125578718
718	0.03119781161
719	0.03113123723
720	0.03106151849
721	0.03097910088
722	0.03093052187
723	0.03087103373
724	0.03081573188
725	0.03074742858
726	0.03067652613
727	0.03061849673
728	0.03056125005
729	0.03049329028
730	0.03042152038
731	0.03035797965
732	0.0303061298
733	0.03025352484
734	0.03019751544
735	0.03014339527
736	0.03008880171
737	0.03001998718
738	0.02997472419
739	0.02989902375
740	0.02984515688
741	0.02978875157
742	0.02972493601
743	0.02965731891
744	0.02958661005
745	0.02953102515
746	0.02948858979
747	0.02942264009
748	0.02936545571
749	0.02930689657
750	0.02925711124
751	0.0292139941
752	0.02916617166
753	0.02911505367
754	0.02906399318
755	0.02902768559
756	0.02898458577
757	0.02893551481
758	0.02888087619
759	0.02883380998
760	0.02876460088
761	0.0287157446
762	0.02866150784
763	0.02860987212
764	0.028560241
765	0.0285123086
766	0.02846587953
767	0.02842289184
768	0.02836911078
769	0.02831599744
770	0.02826147689
771	0.02821845625
772	0.02817777784
773	0.02811504632
774	0.02806924398
775	0.02800918246
776	0.02792277697
777	0.02786353005
778	0.02781071055
779	0.02775106739
780	0.02769408356
781	0.02763789059
782	0.02758992207
783	0.0275459295
784	0.02749871297
785	0.02745637347
786	0.02740593857
787	0.02734662601
788	0.0273008098
789	0.02725135274
790	0.02720146315
791	0.02714848667
792	0.02709224283
793	0.02703973043
794	0.02699516319
795	0.02694404699
796	0.02688996939
797	0.02684112504
798	0.0267938183
799	0.02674464458
800	0.02670698381
801	0.02664923677
802	0.02658617069
803	0.02655122836
804	0.02650815897
805	0.02645840231
806	0.02641947003
807	0.02637132825
808	0.02633209494
809	0.02628823748
810	0.02623951106
811	0.02620246714
812	0.02612660366
813	0.02608683288
814	0.02603941037
815	0.02600015278
816	0.02595889827
817	0.02591434589
818	0.02586974364
819	0.02583305614
820	0.02579838113
821	0.025760107
822	0.02571847069
823	0.02567447895
824	0.02563760792
825	0.02559857253
826	0.0255372498
827	0.02548957888
828	0.02544943616
829	0.02539317634
830	0.02534975377
831	0.0253053843
832	0.02526732871
833	0.02522779953
834	0.02518594981
835	0.0251341073
836	0.0250960891
837	0.0250603397
838	0.025017932
839	0.02498502254
840	0.02494315744
841	0.02490731097
842	0.02486739423
843	0.02482019002
844	0.02477729643
845	0.02474120405
846	0.02469795657
847	0.02466334149
848	0.0246218366
849	0.02458224795
850	0.02454541049
851	0.02450541353
852	0.02446415039
853	0.02442246214
854	0.02439211731
855	0.02435413319
856	0.0243157396
857	0.02427544668
858	0.02423766049
859	0.0242021667
860	0.02416944688
861	0.02412528516
862	0.02407816307
863	0.02404320322
864	0.02400046378
865	0.02396172026
866	0.02391523168
867	0.02385639527
868	0.0238156972
869	0.02378247841
870	0.02374536959
871	0.02369458401
872	0.02365889101
873	0.02362114419
874	0.02357565239
875	0.02353144651
876	0.02349836748
877	0.02345912975
878	0.0234215127
879	0.02337555954
880	0.02334162239
881	0.02330082137
882	0.02326213038
883	0.02321865163
884	0.02318615253
885	0.02314878233
886	0.02309690222
887	0.02303693108
888	0.02300016426
889	0.0229532565
890	0.02289756988
891	0.02286114396
892	0.02282321426
893	0.0227851463
894	0.02275726738
895	0.02271693531
896	0.02268310711
897	0.02264953487
898	0.02261319891
899	0.02257821047
900	0.02254851617
901	0.02250625645
902	0.02247154866
903	0.02244165234
904	0.02240634808
905	0.02237582124
906	0.0223410553
907	0.02229639121
908	0.0222626029
909	0.02223389221
910	0.02219735952
911	0.02215249644
912	0.02211852774
913	0.02208433672
914	0.02205246576
915	0.02202492455
916	0.02198702395
917	0.0219466474
918	0.02191028205
919	0.02187893611
920	0.02184011874
921	0.02179836108
922	0.02176304644
923	0.02173181853
924	0.02168265022
925	0.02164541278
926	0.02160815702
927	0.02156168133
928	0.02153492503
929	0.02149928746
930	0.02146273319
931	0.02142738845
932	0.02139640379
933	0.02136187372
934	0.02133077678
935	0.02129590809
936	0.02125959092
937	0.0212341524
938	0.02120390283
939	0.02117641076
940	0.02115072797
941	0.02111795036
942	0.0210744645
943	0.02104004137
944	0.02100759984
945	0.02098397333
946	0.02094910208
947	0.02090414651
948	0.02087915327
949	0.0208519255
950	0.02081694934
951	0.02078905889
952	0.02075381509
953	0.02071361795
954	0.02068765098
955	0.02066042758
956	0.02062243482
957	0.02058098306
958	0.02054880157
959	0.02051602767
960	0.02048117482
961	0.02045299185
962	0.02042581334
963	0.02039229995
964	0.02036088071
965	0.02033586935
966	0.02029487349
967	0.02027304092
968	0.02023992553
969	0.02020857369
970	0.02017704885
971	0.02013785896
972	0.02011025711
973	0.02008315628
974	0.02005429538
975	0.02002627044
976	0.01999084465
977	0.01995601491
978	0.0199331598
979	0.01991040346
980	0.01988127105
981	0.01985720481
982	0.01982580512
983	0.01979620469
984	0.01976775895
985	0.01974384855
986	0.01971764671
987	0.01969070614
988	0.01966420151
989	0.01963531611
990	0.01959992423
991	0.01957472301
992	0.01954339687
993	0.01951808644
994	0.01948848656
995	0.01946536081
996	0.01944409097
997	0.01941513164
998	0.01938700752
999	0.01936421448
